v1_0,v1_1,v1_2,v1_3,v1_4,v2_0,v2_1,v2_2,v2_3,v2_4,v3_0,v3_1,v3_2,v3_3,v3_4,v3_5,v3_6,v3_7,v3_8,v3_9,v3_10,v3_11,v3_12,v3_13,v3_14,v3_15,v3_16,v3_17,v3_18,v3_19,v3_20,v3_21,v3_22,v3_23,v3_24,v3_25,v3_26,v3_27,v3_28,v3_29,a1,a2,label,weight
0.0,-1.0,0.0,0.0,1.0,21.0,0.0,7.0,5.0,8.0,4.0,0.0,3.0,5.0,6.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-6.0,0.0,-3.0,-2.0,-4.0,2.0,0.0,1.0,0.5179697702828122
0.0,1.0,0.0,0.0,-1.0,23.0,6.0,7.0,5.0,0.0,6.0,0.0,3.0,2.0,4.0,1.0,0.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-4.0,0.0,-3.0,-5.0,-6.0,-3.0,0.0,0.0,0.5410017808004594
0.0,-1.0,0.0,0.0,1.0,20.0,0.0,7.0,5.0,8.0,4.0,0.0,3.0,5.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.0,-1.0,0.0,-1.0,-1.0,-1.0,-6.0,0.0,-3.0,0.0,-4.0,3.0,0.0,1.0,0.563092506371473
0.0,1.0,0.0,0.0,-1.0,23.0,3.0,7.0,5.0,0.0,6.0,0.0,3.0,0.0,4.0,1.0,0.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,2.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-4.0,0.0,-3.0,-5.0,-6.0,-4.0,0.0,0.0,0.5843487097907776
0.0,-1.0,0.0,0.0,1.0,17.0,0.0,6.0,6.0,7.0,4.0,0.0,3.0,5.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-6.0,-3.0,0.0,-4.0,4.0,0.0,1.0,0.6048583789091339
0.0,1.0,0.0,0.0,-1.0,23.0,3.0,7.0,5.0,0.0,0.0,6.0,3.0,0.0,4.0,1.0,0.0,1.0,1.0,1.0,-1.0,0.0,-1.0,0.0,2.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-4.0,0.0,-3.0,-5.0,-6.0,-5.0,0.0,0.0,0.6246950475544243
0.0,-1.0,0.0,0.0,1.0,16.0,0.0,6.0,6.0,7.0,4.0,0.0,3.0,5.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.0,-2.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-6.0,-3.0,0.0,-4.0,4.0,0.0,1.0,0.6439209162167846
0.0,1.0,0.0,0.0,-1.0,22.0,3.0,7.0,5.0,0.0,0.0,6.0,3.0,0.0,4.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.0,-1.0,1.0,2.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,-3.0,-5.0,-6.0,-5.0,0.0,0.0,0.6625891564490792
0.0,-1.0,0.0,0.0,1.0,17.0,0.0,7.0,5.0,8.0,4.0,0.0,3.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,-1.0,-2.0,-1.0,0.0,-1.0,0.0,-1.0,-6.0,0.0,-3.0,0.0,-4.0,5.0,0.0,1.0,0.6807456457050177
0.0,1.0,0.0,0.0,-1.0,22.0,3.0,7.0,5.0,0.0,6.0,0.0,3.0,0.0,4.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.0,-1.0,1.0,2.0,-3.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,-5.0,-6.0,-5.0,0.0,0.0,0.6984302957695782
0.0,-1.0,0.0,0.0,1.0,15.0,0.0,4.0,6.0,7.0,4.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,-1.0,-2.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-6.0,-3.0,0.0,-4.0,5.0,0.0,1.0,0.7156780854205468
0.0,1.0,0.0,0.0,-1.0,22.0,3.0,7.0,5.0,0.0,0.0,6.0,3.0,0.0,4.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.0,-1.0,1.0,2.0,-3.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-5.0,0.0,0.0,-4.0,0.0,0.0,0.0,-6.0,-5.0,0.0,0.0,0.7325198740332296
0.0,-1.0,0.0,0.0,1.0,15.0,0.0,4.0,6.0,5.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,-1.0,-2.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-6.0,-3.0,-4.0,0.0,5.0,0.0,1.0,0.7489830503797116
0.0,1.0,0.0,0.0,-1.0,22.0,3.0,7.0,6.0,0.0,0.0,6.0,3.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.0,-1.0,1.0,2.0,-3.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,-4.0,-6.0,-5.0,0.0,0.0,0.7650920556760059
-1.0,-1.0,0.0,0.0,1.0,9.0,0.0,4.0,7.0,5.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,5.0,0.0,0.0,3.0,1.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,-2.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-6.0,-3.0,-4.0,0.0,3.0,-2.0,1.0,0.7808688094430303
1.0,1.0,0.0,-1.0,-1.0,20.0,3.0,7.0,0.0,0.0,0.0,6.0,3.0,-4.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.0,-1.0,0.0,2.0,-3.0,-1.0,0.0,0.0,1.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-3.0,2.0,0.0,0.7963330593811955
-1.0,-1.0,0.0,0.0,1.0,9.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,0.0,0.0,3.0,1.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-6.0,-3.0,-2.0,0.0,3.0,-2.0,1.0,0.8115026712006891
1.0,1.0,0.0,0.0,-1.0,20.0,6.0,7.0,0.0,0.0,0.0,6.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.0,-1.0,0.0,0.0,-3.0,-1.0,0.0,0.0,1.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-3.0,2.0,0.0,0.8263938705413374
-1.0,-1.0,0.0,0.0,1.0,9.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,-2.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-6.0,-3.0,0.0,0.0,3.0,-2.0,1.0,0.8410214463203252
0.0,1.0,0.0,0.0,-1.0,16.0,3.0,7.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,-5.0,-1.0,0.0,-1.0,0.0,2.0,-3.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-3.0,1.0,0.0,0.8553989227683015
0.0,-1.0,0.0,0.0,1.0,9.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,-1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-2.0,-1.0,0.0,-1.0,0.0,5.0,0.0,-6.0,-3.0,0.0,0.0,2.0,-1.0,1.0,0.8695387058524823
-1.0,1.0,0.0,0.0,-1.0,12.0,2.0,6.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,-5.0,-1.0,0.0,-1.0,0.0,2.0,-3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.8834522085987724
1.0,-1.0,0.0,0.0,1.0,10.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-2.0,-1.0,0.0,-1.0,0.0,5.0,-6.0,0.0,-3.0,0.0,0.0,5.0,0.0,1.0,0.8971499589146108
-1.0,1.0,0.0,0.0,-1.0,8.0,2.0,4.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,-5.0,-1.0,0.0,-1.0,0.0,2.0,-3.0,-1.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.9106416928094863
1.0,-1.0,0.0,0.0,1.0,9.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0,-2.0,-1.0,0.0,-1.0,0.0,5.0,0.0,-6.0,-3.0,0.0,0.0,5.0,0.0,1.0,0.9239364353597956
-1.0,1.0,0.0,0.0,-1.0,8.0,2.0,4.0,0.0,0.0,0.0,6.0,3.0,0.0,-5.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,2.0,-3.0,-1.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.9370425713316364
1.0,-1.0,0.0,0.0,1.0,9.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-6.0,-3.0,-2.0,5.0,5.0,0.0,1.0,0.9499679070317291
-1.0,0.0,0.0,0.0,-1.0,8.0,0.0,4.0,0.0,0.0,0.0,6.0,3.0,-5.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-3.0,-1.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.9627197246824659
1.0,0.0,0.0,0.0,1.0,10.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-6.0,0.0,-3.0,5.0,0.0,5.0,0.0,1.0,0.9753048303966929
-1.0,0.0,-1.0,0.0,-1.0,8.0,0.0,0.0,0.0,0.0,6.0,0.0,-5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-3.0,-1.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.9877295966495896
1.0,0.0,1.0,0.0,1.0,9.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-6.0,5.0,0.0,0.0,5.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,30.0,6.0,7.0,5.0,8.0,4.0,2.0,3.0,5.0,6.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,-5.0,-3.0,-2.0,-4.0,0.0,0.0,0.0,0.1386750490563073
0.0,0.0,0.0,0.0,0.0,30.0,6.0,7.0,5.0,8.0,6.0,5.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-4.0,0.0,-3.0,-5.0,-6.0,0.0,0.0,1.0,0.19611613513818404
0.0,0.0,0.0,0.0,0.0,30.0,5.0,7.0,5.0,8.0,4.0,0.0,3.0,5.0,6.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-6.0,-5.0,-3.0,-2.0,-4.0,-1.0,0.0,0.0,0.2401922307076307
0.0,0.0,0.0,0.0,0.0,29.0,6.0,7.0,5.0,8.0,6.0,5.0,3.0,2.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-4.0,0.0,-3.0,-5.0,-6.0,0.0,0.0,1.0,0.2773500981126146
0.0,0.0,0.0,0.0,0.0,24.0,4.0,6.0,4.0,7.0,4.0,0.0,3.0,5.0,6.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-6.0,-1.0,-1.0,-1.0,-1.0,0.0,-5.0,-3.0,-2.0,-4.0,0.0,0.0,0.0,0.31008683647302115
0.0,0.0,0.0,0.0,0.0,29.0,6.0,7.0,5.0,8.0,0.0,5.0,3.0,2.0,4.0,6.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-4.0,-2.0,-3.0,-5.0,-6.0,0.0,0.0,1.0,0.3396831102433787
0.0,0.0,0.0,0.0,0.0,24.0,5.0,6.0,4.0,7.0,4.0,2.0,3.0,5.0,6.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-6.0,-1.0,-1.0,-1.0,0.0,0.0,-5.0,-3.0,-2.0,-4.0,-1.0,0.0,0.0,0.3668996928526714
0.0,0.0,0.0,0.0,0.0,28.0,6.0,7.0,5.0,8.0,0.0,5.0,3.0,2.0,4.0,6.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-4.0,-2.0,-3.0,-5.0,-6.0,0.0,0.0,1.0,0.3922322702763681
0.0,0.0,0.0,0.0,0.0,23.0,5.0,6.0,4.0,7.0,4.0,2.0,3.0,5.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,0.0,-1.0,-1.0,-6.0,-1.0,-1.0,0.0,0.0,0.0,-5.0,-3.0,-2.0,-4.0,-1.0,0.0,0.0,0.41602514716892186
0.0,0.0,0.0,0.0,0.0,27.0,6.0,7.0,5.0,8.0,0.0,5.0,3.0,2.0,4.0,6.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-5.0,0.0,-4.0,-2.0,-3.0,0.0,-6.0,1.0,0.0,1.0,0.4385290096535146
0.0,0.0,0.0,0.0,0.0,23.0,5.0,6.0,4.0,6.0,4.0,2.0,3.0,0.0,6.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,-1.0,0.0,-1.0,-1.0,-6.0,0.0,-1.0,0.0,0.0,0.0,-5.0,-3.0,-2.0,-4.0,-2.0,0.0,0.0,0.45993310550389993
0.0,0.0,0.0,0.0,0.0,26.0,6.0,7.0,5.0,8.0,0.0,5.0,3.0,2.0,4.0,6.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-5.0,0.0,-4.0,-2.0,-3.0,0.0,-6.0,1.0,0.0,1.0,0.4803844614152614
-1.0,0.0,0.0,0.0,0.0,17.0,5.0,6.0,4.0,6.0,4.0,2.0,3.0,0.0,6.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,-1.0,1.0,-1.0,-1.0,0.0,-1.0,0.0,-6.0,0.0,-1.0,0.0,0.0,0.0,-5.0,-3.0,-2.0,-4.0,-3.0,0.0,0.0,0.5
0.0,0.0,0.0,0.0,0.0,23.0,6.0,7.0,5.0,8.0,0.0,5.0,3.0,2.0,4.0,6.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,-5.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,-4.0,-2.0,-3.0,0.0,-6.0,1.0,0.0,1.0,0.5188745216627708
0.0,0.0,0.0,0.0,0.0,17.0,5.0,6.0,4.0,5.0,4.0,2.0,3.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,-5.0,-3.0,-2.0,-4.0,-2.0,0.0,0.0,0.5370861555295746
-1.0,0.0,0.0,0.0,0.0,16.0,6.0,7.0,5.0,8.0,0.0,5.0,3.0,2.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,-5.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,-4.0,-2.0,-3.0,0.0,-6.0,0.0,-1.0,1.0,0.5547001962252291
0.0,0.0,0.0,0.0,0.0,15.0,5.0,6.0,4.0,5.0,4.0,2.0,3.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,-1.0,-5.0,-1.0,-1.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-2.0,-4.0,-2.0,0.0,0.0,0.5717718748968657
0.0,0.0,0.0,0.0,0.0,16.0,6.0,7.0,5.0,6.0,0.0,0.0,3.0,2.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,-1.0,-5.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-4.0,-2.0,-3.0,0.0,-6.0,1.0,0.0,1.0,0.5883484054145521
0.0,0.0,0.0,0.0,-1.0,14.0,5.0,6.0,4.0,0.0,4.0,2.0,3.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,-1.0,-5.0,0.0,-1.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-2.0,-4.0,-2.0,-1.0,0.0,0.6044705248269888
0.0,0.0,0.0,0.0,0.0,14.0,6.0,7.0,5.0,0.0,0.0,0.0,3.0,2.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-4.0,-2.0,-3.0,0.0,-6.0,1.0,0.0,1.0,0.6201736729460423
-1.0,0.0,0.0,0.0,0.0,6.0,3.0,4.0,4.0,0.0,4.0,2.0,3.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,-1.0,-6.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-2.0,-4.0,-3.0,-1.0,0.0,0.6354889093022426
1.0,0.0,0.0,0.0,0.0,14.0,6.0,7.0,5.0,0.0,0.0,0.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,1.0,0.0,-4.0,0.0,0.0,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-2.0,-3.0,0.0,-6.0,3.0,1.0,1.0,0.6504436355879909
-1.0,0.0,0.0,0.0,0.0,6.0,3.0,4.0,2.0,0.0,0.0,2.0,3.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,-1.0,1.0,-1.0,-6.0,0.0,-1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-4.0,-3.0,-1.0,0.0,0.6650621717611762
1.0,0.0,0.0,0.0,0.0,11.0,5.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,3.0,0.0,0.0,0.0,1.0,6.0,0.0,1.0,0.0,-4.0,0.0,0.0,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-2.0,-3.0,-6.0,0.0,3.0,1.0,1.0,0.6793662204867574
-2.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,2.0,0.0,0.0,2.0,3.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,-1.0,-1.0,-1.0,-6.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-4.0,-5.0,-2.0,0.0,0.6933752452815364
2.0,0.0,0.0,0.0,0.0,11.0,5.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,3.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,-4.0,0.0,-2.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-3.0,-6.0,0.0,5.0,2.0,1.0,0.7071067811865476
-2.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,1.0,0.0,-1.0,0.0,4.0,0.0,2.0,0.0,-1.0,-1.0,-6.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-4.0,-6.0,-2.0,0.0,0.7205766921228921
1.0,0.0,0.0,0.0,0.0,9.0,5.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,3.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,-4.0,0.0,-2.0,0.0,1.0,0.0,-1.0,0.0,-3.0,0.0,0.0,0.0,0.0,-6.0,0.0,3.0,1.0,1.0,0.7337993857053428
-1.0,0.0,-1.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,-1.0,0.0,4.0,0.0,2.0,0.0,0.0,-1.0,-6.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-4.0,-4.0,-1.0,0.0,0.7467879938056768
1.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,-2.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,-6.0,0.0,4.0,1.0,1.0,0.7595545253127499
